epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.02012,3.40057,4.1145,4.35802,0.00332,0.31129,0.00244,0.00108,2.91185,3.72552,4.15908,5.716e-05,5.716e-05,5.716e-05
2,31.1906,3.37492,4.09857,4.28814,0.00359,0.33197,0.00814,0.0029,2.91256,3.72441,4.15878,0.000128246,0.000128246,0.000128246
3,35.7485,3.41033,4.04845,4.27354,0.00349,0.31878,0.00275,0.00112,2.91286,3.72393,4.15743,0.000198928,0.000198928,0.000198928
4,39.2754,3.3407,4.02874,4.24187,0.00373,0.32994,0.00341,0.0013,2.91167,3.72544,4.15643,0.000269206,0.000269206,0.000269206
5,41.8713,3.11564,3.98184,4.2083,0.00355,0.32594,0.00313,0.00123,2.91101,3.72933,4.15548,0.00033908,0.00033908,0.00033908
6,44.3136,3.27796,3.93395,4.16263,0.00325,0.32594,0.00319,0.00142,2.91068,3.73263,4.15479,0.000408549,0.000408549,0.000408549
7,46.8158,3.42554,3.91,4.14843,0.0033,0.3371,0.00442,0.00164,2.91043,3.7358,4.15374,0.000477614,0.000477614,0.000477614
8,49.7659,3.11446,3.7578,4.08601,0.00294,0.33546,0.005,0.00211,2.91088,3.73763,4.15304,0.000546275,0.000546275,0.000546275
9,53.5994,3.39408,3.79552,4.06644,0.00296,0.34245,0.00414,0.00152,2.90752,3.76166,4.15569,0.000614532,0.000614532,0.000614532
10,57.3291,3.12913,3.60562,3.93179,0.00416,0.33366,0.00445,0.00162,2.90512,3.79612,4.16423,0.000682385,0.000682385,0.000682385
11,59.7848,3.20658,3.58725,3.92274,0.00403,0.32047,0.00327,0.00125,2.90041,3.84936,4.17506,0.000749833,0.000749833,0.000749833
12,62.1911,3.19152,3.55551,3.81636,0.00379,0.29963,0.00309,0.00119,2.90157,3.95743,4.20942,0.000816877,0.000816877,0.000816877
13,64.6504,3.20212,3.52873,3.78127,0.00381,0.30549,0.00326,0.00123,2.90579,3.99978,4.22656,0.000883517,0.000883517,0.000883517
