epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
20,88.9422,2.87802,3.38104,3.43444,0.01391,0.05139,0.01223,0.00388,2.83966,4.05008,4.20818,0.00134818,0.00134818,0.00134818
21,91.368,3.00181,3.33179,3.49273,0.01229,0.0439,0.01344,0.00388,2.78541,3.99405,4.0631,0.00135826,0.00135826,0.00135826
22,93.9277,2.86516,3.38621,3.44314,0.02078,0.05122,0.01372,0.00369,2.95825,4.07505,3.8887,0.00135473,0.00135473,0.00135473
23,97.1695,2.90221,3.27606,3.37197,0.02609,0.09037,0.01434,0.00452,2.9439,4.12024,3.83114,0.00135119,0.00135119,0.00135119
24,101.438,2.80172,3.22121,3.36837,0.04737,0.10884,0.01673,0.0053,2.90423,4.15379,4.00352,0.00134765,0.00134765,0.00134765
25,105.549,2.7651,3.35549,3.36581,0.04605,0.05719,0.01787,0.00579,2.89842,4.08251,3.98246,0.00134412,0.00134412,0.00134412
26,108.02,2.7542,3.27114,3.32029,0.02582,0.0839,0.01719,0.00559,2.86847,4.60973,3.99651,0.00134058,0.00134058,0.00134058
27,110.471,2.80688,3.26687,3.29865,0.01519,0.13834,0.01545,0.00549,2.89343,7.07227,4.09093,0.00133704,0.00133704,0.00133704
28,112.998,2.75214,3.24051,3.23956,0.0351,0.1007,0.02414,0.00803,2.80772,9.37939,3.85746,0.00133351,0.00133351,0.00133351
29,115.549,2.79352,3.23232,3.18374,0.03492,0.2129,0.03292,0.01117,2.72665,7.13577,3.55954,0.00132997,0.00132997,0.00132997
30,119.358,2.74384,3.16535,3.17742,0.11914,0.12116,0.03603,0.01181,2.72966,4.82812,3.45791,0.00132643,0.00132643,0.00132643
31,123.441,2.79479,3.2302,3.25105,0.12588,0.15829,0.05297,0.01506,2.74111,4.45446,3.45002,0.0013229,0.0013229,0.0013229
32,127.135,2.64357,3.16931,3.10618,0.13208,0.17458,0.04954,0.01608,2.71254,9.07868,3.38484,0.00131936,0.00131936,0.00131936
33,129.75,2.69801,3.13383,3.12797,0.16242,0.18072,0.06312,0.0212,2.64013,5.92178,3.26212,0.00131582,0.00131582,0.00131582
34,132.292,2.80898,3.28832,3.13577,0.11518,0.16505,0.06577,0.02066,2.54366,3.54287,3.20077,0.00131229,0.00131229,0.00131229
35,134.839,2.68068,3.23104,3.15932,0.18374,0.10796,0.07521,0.02548,2.46632,3.35778,3.17413,0.00130875,0.00130875,0.00130875
36,137.842,2.68367,3.17881,3.11219,0.18471,0.22839,0.11012,0.03961,2.49604,3.46166,3.21745,0.00130521,0.00130521,0.00130521
37,141.834,2.63997,3.12434,3.12343,0.14207,0.213,0.09758,0.03157,2.56563,3.82304,3.23493,0.00130168,0.00130168,0.00130168
38,145.778,2.70261,3.00154,3.02664,0.11452,0.24738,0.07089,0.02318,2.67686,7.01353,3.3334,0.00129814,0.00129814,0.00129814
39,148.42,2.67809,3.11128,3.05683,0.10143,0.18894,0.05939,0.01957,2.65603,6.1304,3.27754,0.0012946,0.0012946,0.0012946
40,151.011,2.60376,3.01489,3.01237,0.12742,0.19745,0.07376,0.02481,2.66874,4.86468,3.22732,0.00129107,0.00129107,0.00129107
41,153.643,2.51471,2.99094,3.01683,0.09946,0.23983,0.07259,0.02534,2.65669,5.06233,3.22488,0.00128753,0.00128753,0.00128753
42,156.855,2.54478,3.03986,2.94423,0.05767,0.24693,0.0575,0.01916,2.68859,8.14363,3.24119,0.00128399,0.00128399,0.00128399
43,161.132,2.59394,3.14407,3.0644,0.10037,0.21436,0.07478,0.02857,2.65572,6.21408,3.22783,0.00128046,0.00128046,0.00128046
44,165.103,2.6108,3.10216,3.07943,0.12747,0.34009,0.11945,0.03988,2.5358,5.41217,3.25548,0.00127692,0.00127692,0.00127692
45,167.899,2.6512,3.05009,3.03934,0.16591,0.38827,0.12923,0.0451,2.58132,8.56887,3.29271,0.00127338,0.00127338,0.00127338
46,170.414,2.56062,2.90872,2.94143,0.16765,0.32876,0.10333,0.03581,2.54072,11.1747,3.34486,0.00126985,0.00126985,0.00126985
47,172.933,2.53333,2.88689,2.90694,0.09054,0.34639,0.06655,0.02329,2.5894,15.1626,3.6141,0.00126631,0.00126631,0.00126631
48,175.809,2.58184,2.98774,2.93488,0.08565,0.16854,0.07605,0.02578,2.52935,6.76552,3.30475,0.00126277,0.00126277,0.00126277
49,180.111,2.40225,2.99493,2.92112,0.09468,0.22077,0.07938,0.02549,2.52724,5.29603,3.1963,0.00125923,0.00125923,0.00125923
50,184.794,2.54978,2.93777,2.93055,0.14448,0.15006,0.09879,0.03351,2.60322,4.66096,3.2653,0.0012557,0.0012557,0.0012557
51,189.518,2.56837,3.10245,3.00705,0.11594,0.26434,0.07903,0.02938,2.65434,5.9033,3.31999,0.00125216,0.00125216,0.00125216
52,193.065,2.51832,2.95188,2.92084,0.15273,0.27436,0.09804,0.03304,2.61413,5.82307,3.28389,0.00124862,0.00124862,0.00124862
53,195.599,2.46743,2.84372,2.83936,0.24423,0.21334,0.11357,0.04217,2.50053,5.57319,3.13227,0.00124509,0.00124509,0.00124509
54,198.181,2.51156,2.97394,2.91731,0.17423,0.23329,0.11541,0.04337,2.43816,4.29793,3.08998,0.00124155,0.00124155,0.00124155
55,200.695,2.45984,2.95583,2.88484,0.36048,0.23735,0.21288,0.08158,2.37989,3.35828,2.98521,0.00123801,0.00123801,0.00123801
56,204.178,2.48449,2.99052,2.91027,0.31935,0.31754,0.24229,0.09633,2.36926,2.71323,2.95263,0.00123448,0.00123448,0.00123448
57,208.299,2.43477,2.8305,2.85292,0.33466,0.33968,0.24438,0.08802,2.39509,2.66584,2.97744,0.00123094,0.00123094,0.00123094
58,212.243,2.49171,2.75382,2.86573,0.2608,0.30604,0.1925,0.06843,2.38968,2.69209,3.00183,0.0012274,0.0012274,0.0012274
59,214.824,2.44808,2.88484,2.88722,0.20573,0.27426,0.17681,0.06127,2.39745,2.76442,3.03166,0.00122387,0.00122387,0.00122387
60,217.46,2.51259,2.81784,2.80555,0.22487,0.24845,0.16876,0.06735,2.26549,2.79413,2.93456,0.00122033,0.00122033,0.00122033
61,220.055,2.43683,2.88958,2.87461,0.34501,0.24161,0.20884,0.09027,2.27309,2.90609,2.90433,0.00121679,0.00121679,0.00121679
62,222.739,2.34878,2.78122,2.80104,0.25504,0.30773,0.20353,0.08872,2.27183,3.21916,2.8856,0.00121326,0.00121326,0.00121326
63,226.541,2.30379,2.80514,2.78006,0.2717,0.27803,0.18801,0.08334,2.27513,3.16979,2.87434,0.00120972,0.00120972,0.00120972
64,230.701,2.31928,2.71716,2.72306,0.24147,0.21917,0.16128,0.06418,2.31074,2.89525,2.94517,0.00120618,0.00120618,0.00120618
65,233.737,2.36611,2.6752,2.68507,0.30973,0.22439,0.19587,0.08211,2.28185,2.93426,2.94855,0.00120265,0.00120265,0.00120265
66,236.302,2.27106,2.67024,2.71993,0.25307,0.32819,0.22369,0.09309,2.23435,2.82361,2.90491,0.00119911,0.00119911,0.00119911
67,238.868,2.32605,2.61266,2.76639,0.27049,0.31505,0.21267,0.08562,2.17266,2.7428,2.86062,0.00119557,0.00119557,0.00119557
68,241.553,2.26092,2.66529,2.66446,0.22945,0.32768,0.19689,0.07978,2.14788,2.65744,2.8642,0.00119204,0.00119204,0.00119204
69,245.225,2.25388,2.66317,2.69509,0.22804,0.38652,0.21666,0.08798,2.16701,2.75539,2.84191,0.0011885,0.0011885,0.0011885
70,249.337,2.25225,2.57745,2.66372,0.2519,0.47234,0.26162,0.10312,2.23848,3.41355,2.88901,0.00118496,0.00118496,0.00118496
71,252.861,2.25503,2.68843,2.69286,0.28187,0.39595,0.27093,0.1089,2.31775,3.01762,2.93543,0.00118143,0.00118143,0.00118143
72,255.46,2.30585,2.64871,2.72053,0.23357,0.32035,0.22513,0.09201,2.2197,2.56408,2.85412,0.00117789,0.00117789,0.00117789
73,257.902,2.29343,2.65358,2.67471,0.30372,0.27423,0.23065,0.08966,2.23862,2.74728,2.86493,0.00117435,0.00117435,0.00117435
74,260.383,2.30077,2.61795,2.74402,0.24317,0.3137,0.23005,0.08982,2.25427,2.73257,2.90281,0.00117082,0.00117082,0.00117082
75,263.459,2.26094,2.60769,2.70761,0.23231,0.28541,0.22021,0.08691,2.33165,2.64996,2.99732,0.00116728,0.00116728,0.00116728
76,267.317,2.20385,2.63208,2.56904,0.26052,0.28962,0.26055,0.09834,2.20999,2.72891,2.97049,0.00116374,0.00116374,0.00116374
77,271.564,2.17523,2.51988,2.63609,0.2723,0.33174,0.21541,0.09668,2.15191,3.05631,2.91645,0.00116021,0.00116021,0.00116021
78,274.386,2.12718,2.69232,2.59157,0.28679,0.33844,0.21618,0.09333,2.15281,3.10926,2.86218,0.00115667,0.00115667,0.00115667
79,276.967,2.15533,2.55067,2.59125,0.3679,0.35827,0.3149,0.12682,2.14878,2.49406,2.79051,0.00115313,0.00115313,0.00115313
80,279.561,2.15758,2.47946,2.63993,0.41929,0.37565,0.35167,0.15247,2.12715,2.41063,2.76127,0.00114959,0.00114959,0.00114959
81,282.12,2.12392,2.45929,2.59573,0.50816,0.3585,0.35246,0.15137,2.16919,2.48109,2.80153,0.00114606,0.00114606,0.00114606
82,285.648,2.17562,2.55301,2.62729,0.41251,0.34383,0.31626,0.12855,2.21607,2.51374,2.85766,0.00114252,0.00114252,0.00114252
83,289.757,2.19497,2.46753,2.63149,0.41929,0.35776,0.30128,0.12036,2.2472,2.63676,2.92745,0.00113898,0.00113898,0.00113898
84,293.532,2.1637,2.43298,2.53003,0.41448,0.25636,0.21295,0.08098,2.39182,2.90464,3.05711,0.00113545,0.00113545,0.00113545
85,296.089,2.09309,2.49437,2.50246,0.40163,0.27351,0.24436,0.10254,2.19336,2.7595,2.87415,0.00113191,0.00113191,0.00113191
86,298.608,2.11612,2.56154,2.58275,0.26236,0.35867,0.32494,0.14221,2.04985,2.44175,2.69576,0.00112837,0.00112837,0.00112837
87,301.076,2.04062,2.38532,2.48292,0.38452,0.3864,0.38494,0.16216,2.00727,2.26192,2.66181,0.00112484,0.00112484,0.00112484
88,303.759,2.10107,2.54131,2.57722,0.42639,0.40701,0.40499,0.17362,1.97723,2.24243,2.62058,0.0011213,0.0011213,0.0011213
89,307.49,2.1255,2.51788,2.54942,0.38147,0.39352,0.3812,0.16588,2.03284,2.33192,2.65177,0.00111776,0.00111776,0.00111776
90,311.929,2.05785,2.40219,2.52143,0.39787,0.36786,0.37427,0.16333,2.06433,2.43135,2.65545,0.00111423,0.00111423,0.00111423
91,315.125,2.11741,2.49887,2.5929,0.39886,0.42234,0.36527,0.16092,2.07286,2.58763,2.65229,0.00111069,0.00111069,0.00111069
92,317.64,2.07321,2.41861,2.5785,0.45227,0.47825,0.41565,0.18312,2.03162,2.58381,2.65275,0.00110715,0.00110715,0.00110715
93,320.19,2.10355,2.33697,2.51844,0.47391,0.4494,0.42,0.18248,2.02797,2.5688,2.66901,0.00110362,0.00110362,0.00110362
94,322.639,2.06465,2.38984,2.49187,0.49096,0.37973,0.38306,0.16994,2.03219,2.50015,2.68217,0.00110008,0.00110008,0.00110008
95,325.73,2.031,2.25613,2.45576,0.39201,0.4156,0.41238,0.1856,1.97945,2.33384,2.63215,0.00109654,0.00109654,0.00109654
96,329.664,1.99002,2.36738,2.47559,0.40737,0.44771,0.40297,0.18351,1.96152,2.26299,2.58277,0.00109301,0.00109301,0.00109301
97,333.794,2.10281,2.40283,2.5023,0.3704,0.39924,0.35992,0.16414,2.00623,2.36365,2.63217,0.00108947,0.00108947,0.00108947
98,337.049,2.03415,2.22395,2.48334,0.34364,0.40051,0.37458,0.17805,1.96176,2.33911,2.58452,0.00108593,0.00108593,0.00108593
99,339.536,2.00003,2.28537,2.42644,0.35944,0.43719,0.41325,0.19089,1.93157,2.27579,2.57132,0.0010824,0.0010824,0.0010824
100,342.063,2.01204,2.31081,2.49177,0.46407,0.50552,0.47714,0.21148,1.92515,2.13926,2.55463,0.00107886,0.00107886,0.00107886
101,344.594,2.05945,2.26127,2.52549,0.50836,0.40635,0.45018,0.21026,1.89105,2.21029,2.59377,0.00107532,0.00107532,0.00107532
102,347.759,2.01198,2.42588,2.52169,0.50281,0.37313,0.41292,0.18515,1.92883,2.32565,2.63662,0.00107179,0.00107179,0.00107179
103,351.702,1.99844,2.31819,2.49182,0.42114,0.44281,0.411,0.19044,1.95029,2.31458,2.61601,0.00106825,0.00106825,0.00106825
104,355.518,1.9969,2.44626,2.50233,0.3738,0.43143,0.37701,0.16382,2.02435,2.45678,2.67187,0.00106471,0.00106471,0.00106471
105,357.988,2.02119,2.30863,2.43439,0.44131,0.43047,0.40667,0.19161,1.95564,2.38382,2.5877,0.00106118,0.00106118,0.00106118
106,360.412,1.97814,2.38897,2.47072,0.3912,0.51821,0.42059,0.20726,1.8723,2.295,2.50078,0.00105764,0.00105764,0.00105764
107,362.838,1.94964,2.30172,2.43825,0.44423,0.48148,0.44752,0.21425,1.88386,2.22907,2.49274,0.0010541,0.0010541,0.0010541
108,365.317,1.94406,2.17246,2.36654,0.46049,0.50159,0.46413,0.23079,1.90701,2.35886,2.56147,0.00105057,0.00105057,0.00105057
109,369.584,1.96709,2.07529,2.34499,0.42493,0.53782,0.46985,0.21763,1.99137,2.4027,2.63241,0.00104703,0.00104703,0.00104703
110,373.905,1.97614,2.33482,2.4151,0.44466,0.51686,0.4921,0.23538,1.94071,2.22505,2.57018,0.00104349,0.00104349,0.00104349
111,378.37,1.93645,2.12476,2.34817,0.48458,0.52747,0.51068,0.26349,1.81705,2.05565,2.44266,0.00103995,0.00103995,0.00103995
112,382.163,1.92499,2.20452,2.42328,0.47101,0.43629,0.43396,0.22122,1.84164,2.08944,2.41701,0.00103642,0.00103642,0.00103642
113,384.66,1.93802,2.26284,2.43644,0.52662,0.46568,0.47292,0.24619,1.79988,2.07887,2.38801,0.00103288,0.00103288,0.00103288
114,387.21,1.96898,2.30168,2.39368,0.53682,0.53635,0.5224,0.27507,1.77245,2.10366,2.34777,0.00102934,0.00102934,0.00102934
115,389.762,2.05456,2.14645,2.3881,0.54046,0.54876,0.52798,0.26661,1.79566,2.13869,2.36648,0.00102581,0.00102581,0.00102581
116,393.485,1.95614,2.10971,2.32775,0.53978,0.54726,0.56792,0.30336,1.78643,2.0471,2.38611,0.00102227,0.00102227,0.00102227
117,397.57,1.88234,2.11652,2.31912,0.52011,0.55816,0.54238,0.29046,1.76176,2.09679,2.36169,0.00101873,0.00101873,0.00101873
118,401.011,1.9154,2.29436,2.42389,0.51611,0.5024,0.51946,0.27856,1.71515,2.05883,2.33715,0.0010152,0.0010152,0.0010152
119,403.576,1.89945,2.26133,2.37398,0.49237,0.54413,0.55463,0.29637,1.68123,1.96904,2.31092,0.00101166,0.00101166,0.00101166
120,406.069,1.9442,2.11757,2.37931,0.49913,0.59107,0.59118,0.30198,1.78431,1.94352,2.40335,0.00100812,0.00100812,0.00100812
121,408.597,1.89419,2.09439,2.34688,0.51418,0.57952,0.60475,0.31109,1.72481,1.87897,2.36164,0.00100459,0.00100459,0.00100459
122,411.612,1.90895,2.17151,2.38233,0.46773,0.58406,0.59712,0.31658,1.71318,1.86726,2.3342,0.00100105,0.00100105,0.00100105
123,415.652,1.83902,2.05612,2.28754,0.50557,0.58639,0.59912,0.32705,1.72729,1.89606,2.34366,0.000997513,0.000997513,0.000997513
124,419.841,1.86539,2.09114,2.34362,0.63983,0.56807,0.59193,0.32998,1.72958,1.92953,2.3772,0.000993977,0.000993977,0.000993977
125,422.76,1.82266,2.03654,2.29827,0.59364,0.58098,0.60167,0.32671,1.77175,1.8802,2.39115,0.00099044,0.00099044,0.00099044
126,425.325,1.89017,2.10355,2.37937,0.60169,0.59842,0.6239,0.33533,1.73402,1.83378,2.35659,0.000986903,0.000986903,0.000986903
127,427.973,1.85959,2.05136,2.27082,0.60383,0.61953,0.62444,0.33428,1.70483,1.8635,2.32571,0.000983366,0.000983366,0.000983366
128,430.451,1.89931,2.02385,2.27513,0.59659,0.59923,0.64814,0.33158,1.71467,1.82998,2.31434,0.00097983,0.00097983,0.00097983
129,433.867,1.79814,1.93539,2.18442,0.57961,0.52377,0.61303,0.28219,1.79948,1.94202,2.40625,0.000976293,0.000976293,0.000976293
130,438.143,1.85147,2.07415,2.31341,0.52653,0.56385,0.58656,0.268,1.86474,2.04353,2.48326,0.000972756,0.000972756,0.000972756
131,442.068,1.87029,1.96399,2.34223,0.50937,0.56998,0.58409,0.29114,1.84805,2.02279,2.47036,0.000969219,0.000969219,0.000969219
132,444.656,1.83371,1.99941,2.3019,0.62585,0.50514,0.58585,0.30569,1.76174,2.00311,2.40002,0.000965682,0.000965682,0.000965682
133,447.142,1.8479,2.17872,2.351,0.58229,0.56773,0.6004,0.31577,1.72611,1.93865,2.35981,0.000962146,0.000962146,0.000962146
134,449.628,1.85897,1.93691,2.22333,0.59192,0.60014,0.64539,0.34742,1.70636,1.82871,2.34651,0.000958609,0.000958609,0.000958609
135,452.126,1.74957,1.95453,2.23182,0.65357,0.52911,0.65196,0.3655,1.68138,1.83969,2.32762,0.000955072,0.000955072,0.000955072
136,455.713,1.79118,2.03358,2.2359,0.6729,0.48896,0.6188,0.3279,1.68448,1.90078,2.329,0.000951535,0.000951535,0.000951535
137,460.014,1.76294,2.02406,2.22232,0.57927,0.52669,0.62012,0.32547,1.67236,1.89853,2.30881,0.000947999,0.000947999,0.000947999
138,464.009,1.85712,2.01436,2.24546,0.58752,0.60456,0.65662,0.35557,1.65455,1.77669,2.27668,0.000944462,0.000944462,0.000944462
139,466.601,1.84757,1.88175,2.22195,0.549,0.69199,0.68537,0.38384,1.60533,1.78812,2.23304,0.000940925,0.000940925,0.000940925
140,469.222,1.74642,2.09541,2.24148,0.62438,0.56628,0.63748,0.35901,1.63664,1.85773,2.20898,0.000937388,0.000937388,0.000937388
141,471.711,1.70997,1.88337,2.15573,0.59391,0.6002,0.6377,0.33863,1.74436,1.79529,2.2888,0.000933851,0.000933851,0.000933851
142,474.398,1.77291,1.92814,2.16534,0.53569,0.59619,0.65086,0.33201,1.83336,1.76809,2.34301,0.000930315,0.000930315,0.000930315
143,478.211,1.76575,1.83341,2.15349,0.62198,0.53803,0.63898,0.32166,1.80571,1.80958,2.3325,0.000926778,0.000926778,0.000926778
144,482.376,1.77583,1.99935,2.2111,0.67899,0.52796,0.66104,0.37139,1.62376,1.68098,2.19076,0.000923241,0.000923241,0.000923241
145,485.3,1.7591,1.9864,2.23725,0.69496,0.58836,0.69127,0.40172,1.5658,1.62939,2.15501,0.000919704,0.000919704,0.000919704
146,487.969,1.73705,1.84465,2.13263,0.64395,0.66996,0.71125,0.40199,1.51578,1.67788,2.12765,0.000916168,0.000916168,0.000916168
147,490.593,1.76301,1.9849,2.19849,0.62394,0.60254,0.66025,0.36246,1.57102,1.8639,2.1542,0.000912631,0.000912631,0.000912631
148,493.124,1.73369,1.88091,2.18377,0.63658,0.616,0.65467,0.37837,1.54853,2.05217,2.13612,0.000909094,0.000909094,0.000909094
149,497.158,1.73326,1.92596,2.17546,0.64241,0.5981,0.70031,0.4156,1.50805,1.83748,2.10367,0.000905557,0.000905557,0.000905557
150,501.103,1.75427,1.79192,2.1084,0.75051,0.5978,0.74469,0.43279,1.55963,1.71467,2.13215,0.000902021,0.000902021,0.000902021
151,504.927,1.76233,1.8316,2.12291,0.72793,0.57111,0.70946,0.36309,1.66352,1.75658,2.21902,0.000898484,0.000898484,0.000898484
152,507.52,1.67407,1.75386,2.08567,0.62653,0.69939,0.74532,0.38997,1.61566,1.70446,2.18797,0.000894947,0.000894947,0.000894947
153,510.104,1.64536,1.88135,2.13819,0.70426,0.65607,0.76797,0.43822,1.5299,1.71204,2.14565,0.00089141,0.00089141,0.00089141
154,512.599,1.74275,1.86395,2.14819,0.72519,0.66354,0.79656,0.46787,1.50396,1.68474,2.12055,0.000887873,0.000887873,0.000887873
155,515.578,1.78029,1.81921,2.13402,0.78328,0.63213,0.79206,0.46756,1.51642,1.6132,2.12707,0.000884337,0.000884337,0.000884337
156,519.33,1.75739,1.80669,2.10293,0.66972,0.70977,0.7498,0.41033,1.58321,1.59614,2.17309,0.0008808,0.0008808,0.0008808
157,523.573,1.74133,1.83977,2.18184,0.67528,0.69937,0.75151,0.43645,1.53379,1.56796,2.13451,0.000877263,0.000877263,0.000877263
158,526.47,1.73974,1.81462,2.14685,0.65599,0.69318,0.74223,0.43765,1.52482,1.55292,2.10633,0.000873726,0.000873726,0.000873726
159,528.944,1.62014,1.73481,2.08074,0.74601,0.61737,0.7633,0.43488,1.56034,1.53639,2.12354,0.00087019,0.00087019,0.00087019
160,531.428,1.68315,1.81903,2.14404,0.74686,0.67753,0.78939,0.46375,1.49845,1.52523,2.08,0.000866653,0.000866653,0.000866653
161,533.911,1.62545,1.8359,2.09896,0.67712,0.74351,0.79293,0.4778,1.47894,1.52219,2.05445,0.000863116,0.000863116,0.000863116
162,536.907,1.66753,1.64946,2.03475,0.66674,0.75081,0.78145,0.47896,1.44169,1.54089,2.02256,0.000859579,0.000859579,0.000859579
163,540.659,1.64659,1.73442,2.08028,0.66507,0.7125,0.74129,0.4655,1.4365,1.57212,2.00093,0.000856042,0.000856042,0.000856042
164,544.631,1.59257,1.75252,2.0527,0.73859,0.69105,0.79997,0.48496,1.50457,1.53175,2.0584,0.000852506,0.000852506,0.000852506
165,547.319,1.73276,1.87617,2.1635,0.81205,0.69924,0.8298,0.50047,1.49319,1.49186,2.06639,0.000848969,0.000848969,0.000848969
166,549.952,1.64984,1.65037,2.04295,0.79658,0.73384,0.83971,0.50474,1.49631,1.45461,2.06256,0.000845432,0.000845432,0.000845432
167,552.509,1.62062,1.86027,2.10766,0.76213,0.76147,0.84137,0.52236,1.46974,1.40865,2.04534,0.000841895,0.000841895,0.000841895
168,555.132,1.58829,1.73462,2.04216,0.65435,0.77365,0.8007,0.5068,1.49402,1.46188,2.07801,0.000838359,0.000838359,0.000838359
169,559.001,1.68921,1.791,2.14792,0.67479,0.69665,0.79444,0.4958,1.48739,1.44557,2.06574,0.000834822,0.000834822,0.000834822
170,563.144,1.71593,1.72715,2.02638,0.71076,0.70209,0.7929,0.48775,1.49696,1.44966,2.06731,0.000831285,0.000831285,0.000831285
171,567.607,1.69383,1.84239,2.15517,0.77871,0.67776,0.80768,0.49642,1.52406,1.45578,2.10229,0.000827748,0.000827748,0.000827748
172,571.76,1.66912,1.74727,2.08356,0.78294,0.75941,0.85432,0.51958,1.50498,1.38344,2.07417,0.000824211,0.000824211,0.000824211
173,574.878,1.6377,1.71786,2.00539,0.77243,0.75567,0.84855,0.53024,1.48477,1.37503,2.06201,0.000820675,0.000820675,0.000820675
174,577.46,1.58276,1.62998,1.96676,0.80263,0.70951,0.84633,0.51847,1.45933,1.36869,2.03905,0.000817138,0.000817138,0.000817138
175,581.116,1.66089,1.70108,2.11037,0.80511,0.73743,0.86137,0.53399,1.43334,1.34024,2.00655,0.000813601,0.000813601,0.000813601
176,585.393,1.59738,1.67916,2.04521,0.75196,0.71581,0.81324,0.50334,1.50838,1.46894,2.08369,0.000810064,0.000810064,0.000810064
177,589.116,1.60522,1.67536,2.05616,0.79029,0.63994,0.78873,0.48216,1.52419,1.56409,2.07573,0.000806528,0.000806528,0.000806528
178,591.607,1.62296,1.64486,1.99269,0.73926,0.67267,0.78798,0.49255,1.49597,1.54804,2.03791,0.000802991,0.000802991,0.000802991
179,594.22,1.56938,1.66255,2.00435,0.76402,0.67382,0.79284,0.5002,1.47485,1.52398,2.01045,0.000799454,0.000799454,0.000799454
180,596.712,1.66706,1.73058,2.08291,0.80228,0.64703,0.82369,0.55297,1.38321,1.49346,1.92991,0.000795917,0.000795917,0.000795917
181,599.421,1.62822,1.63985,1.98597,0.70994,0.73762,0.80367,0.52836,1.37673,1.53556,1.9328,0.00079238,0.00079238,0.00079238
182,603.192,1.59739,1.72135,2.01561,0.7161,0.72523,0.79292,0.50787,1.3906,1.51478,1.95518,0.000788844,0.000788844,0.000788844
183,607.285,1.55239,1.78535,2.04838,0.70227,0.77871,0.81323,0.51091,1.40875,1.52764,1.9921,0.000785307,0.000785307,0.000785307
184,610.261,1.58999,1.66965,2.03294,0.72277,0.72384,0.79528,0.49239,1.44625,1.79746,2.04083,0.00078177,0.00078177,0.00078177
185,612.758,1.54887,1.6372,2.00072,0.7238,0.73488,0.82302,0.5214,1.40495,1.778,2.0035,0.000778233,0.000778233,0.000778233
