epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.40554,3.40057,4.1145,4.35802,0.00332,0.31129,0.00244,0.00108,2.91185,3.72552,4.15908,5.716e-05,5.716e-05,5.716e-05
2,32.7564,3.37523,4.09812,4.28743,0.00359,0.33197,0.00814,0.0029,2.91261,3.72429,4.15881,0.000128292,0.000128292,0.000128292
3,35.5354,3.40017,4.04294,4.2849,0.00348,0.32245,0.00261,0.00111,2.91275,3.72456,4.15757,0.00019907,0.00019907,0.00019907
4,39.5373,3.34532,4.04401,4.25349,0.00352,0.32628,0.00317,0.00117,2.9116,3.72492,4.15664,0.000269494,0.000269494,0.000269494
5,44.0869,3.11881,3.98714,4.21821,0.00349,0.32228,0.00347,0.00154,2.91141,3.72772,4.15627,0.000339565,0.000339565,0.000339565
6,47.1752,3.27324,3.92926,4.16577,0.00316,0.33693,0.00346,0.00138,2.91037,3.73195,4.15549,0.000409282,0.000409282,0.000409282
7,49.7786,3.43128,3.89909,4.15173,0.00329,0.35045,0.00503,0.0019,2.91048,3.73438,4.15486,0.000478645,0.000478645,0.000478645
8,52.2669,3.14364,3.7325,4.08094,0.00313,0.35412,0.00425,0.00183,2.90776,3.73761,4.15453,0.000547655,0.000547655,0.000547655
9,54.868,3.38175,3.78674,4.06669,0.00331,0.36443,0.01239,0.00402,2.90587,3.75067,4.15618,0.000616311,0.000616311,0.000616311
10,57.9458,3.17357,3.61334,3.96751,0.00401,0.31078,0.00352,0.00133,2.90407,3.79471,4.16852,0.000684613,0.000684613,0.000684613
11,62.1524,3.22086,3.59366,3.91687,0.00384,0.30932,0.00329,0.00124,2.9038,3.85126,4.18408,0.000752561,0.000752561,0.000752561
12,65.8174,3.19819,3.5119,3.82259,0.00402,0.3225,0.0063,0.00254,2.90663,3.89141,4.20088,0.000820156,0.000820156,0.000820156
13,68.2914,3.25598,3.54773,3.79551,0.00397,0.30915,0.00404,0.00145,2.9044,3.94638,4.22746,0.000887398,0.000887398,0.000887398
14,70.7049,3.08128,3.54222,3.72444,0.00478,0.28464,0.00437,0.00156,2.92054,3.94646,4.25196,0.000954285,0.000954285,0.000954285
15,73.1809,3.0375,3.5531,3.69162,0.0051,0.28847,0.00571,0.00196,2.96365,4.18504,4.3462,0.00102082,0.00102082,0.00102082
16,75.7134,2.9211,3.42776,3.56741,0.00494,0.28464,0.00662,0.0023,2.95925,4.28539,4.38893,0.001087,0.001087,0.001087
17,79.4779,3.04032,3.41935,3.54403,0.00501,0.30363,0.01161,0.00476,2.92047,4.28331,4.42797,0.00115283,0.00115283,0.00115283
18,83.6659,3.05031,3.43979,3.51419,0.00492,0.3056,0.00664,0.00223,2.8985,4.20056,4.41475,0.0012183,0.0012183,0.0012183
19,86.4219,3.00925,3.41001,3.48412,0.005,0.33011,0.01144,0.00274,2.85977,4.15098,4.37964,0.00128342,0.00128342,0.00128342
